SECTOR,SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME,DATE
FUTURE CONTRACTS,AICL-AUG,68.6,70.09,70.09,68.8,68.8,0.2,30500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,AGHA-AUG,9.42,9.5,9.5,9.25,9.28,-0.14,331500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,AGL-AUG,60.33,58,60.67,58,59.6,-0.73,1057000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,AIRLINK-AUG,140.53,141,141.48,140.01,140.25,-0.28,90500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,ASL-AUG,12.19,12.21,12.32,12,12.03,-0.16,950500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,AKBL-AUG,70.33,71,71.98,70.1,70.45,0.12,875000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,PREMA-AUG,39.73,39.85,40.8,39.55,40,0.27,115500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,ATRL-AUG,659.85,660,670,660,663.5,3.65,103500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,AVN-AUG,49.03,49.1,49.74,49,49.49,0.46,83000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,BOP-AUG,13.84,14,14.48,13.85,14.16,0.32,25377000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,BAFL-AUG,90.5,91.4,93.88,88.15,88.49,-2.01,750000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,BML-AUG,5.07,5.08,5.08,5,5.06,-0.01,113000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,BIPL-AUG,34.56,36.47,36.47,34.4,34.68,0.12,72000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,CPHL-AUG,82.76,82.8,82.82,82.1,82.15,-0.61,105000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,CNERGY-AUG,6.88,6.95,6.97,6.88,6.88,,975000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,CSAP-AUG,111.4,113.7,117,112.5,113.5,2.1,178500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,DGKC-AUG,169.2,169.5,170.85,167.9,169.61,0.41,1141500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,DCL-AUG,12.8,12.8,12.84,12.74,12.77,-0.03,357500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,DFML-AUG,35.34,35.29,35.69,35,35,-0.34,363500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,EFERT-AUG,206.98,208,208.2,204.5,204.75,-2.23,106000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,EFERT-SEP,207.45,204.55,204.55,204.5,204.5,-2.95,3000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,ENGROH-AUG,210.85,213.5,215,213,214,3.15,34500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,EPCL-AUG,31.32,31.45,31.51,30.9,30.9,-0.42,284000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FCL-AUG,24.7,24.55,24.6,24.5,24.6,-0.1,54000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FATIMA-AUG,111.5,114,114,112.51,112.51,1.01,12500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FCCL-AUG,46.16,46.15,46.5,45.85,45.98,-0.18,468500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FFC-AUG,466.2,469,470,456.66,456.66,-9.54,164500,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FFC-SEP,475.32,460,460,460,460,-15.32,2000,"Thursday, July 31, 2025"
FUTURE CONTRACTS,FFL-AUG,15.65,15.76,15.81,15.5,15.5,-0.15,543000,"Thursday, July 31, 2025"
